Territory Code,Area,Region,Territory,Total recorded crime,Violence against the person,Sexual offences,Robbery,Theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E23000013,ENGLAND ,North East,Cleveland,74419,27383,2560,830,22363,9240,2759,737,6474,2073
E23000008,ENGLAND ,North East,Durham,60910,22987,2251,242,17870,8985,1356,486,4812,1921
E23000007,ENGLAND ,North East,Northumbria,140710,50402,5391,1249,45449,16479,3738,1599,12694,3709
E23000006,ENGLAND ,North West,Cheshire,79508,35803,4033,422,18367,6175,3286,726,8605,2091
E23000002,ENGLAND ,North West,Cumbria,36116,15907,1724,168,7608,3972,1914,526,3253,1044
E23000005,ENGLAND ,North West,Greater Manchester,329257,127489,11958,4585,91189,28054,15027,4648,37336,8971
E23000003,ENGLAND ,North West,Lancashire,132337,55406,5432,1372,39334,13951,3580,1741,8120,3401
E23000004,ENGLAND ,North West,Merseyside,137843,56484,4369,1007,30929,12697,11912,1065,16099,3281
E23000012,ENGLAND ,Yorkshire and The Humber,Humberside,96647,40609,3343,942,26986,9645,1693,830,9996,2603
E23000009,ENGLAND ,Yorkshire and The Humber,North Yorkshire,46484,18547,2001,196,14885,4878,1439,460,3094,984
E23000011,ENGLAND ,Yorkshire and The Humber,South Yorkshire,151836,53285,4994,1934,49865,15401,5128,2122,13905,5202
E23000010,ENGLAND ,Yorkshire and The Humber,West Yorkshire,278521,114874,10187,3233,81414,23451,9125,2224,27128,6885
E23000018,ENGLAND ,East Midlands,Derbyshire,85967,36164,3421,575,22220,7799,2722,995,10211,1860
E23000021,ENGLAND ,East Midlands,Leicestershire,96411,35574,3780,893,30139,9672,2864,846,10379,2264
E23000020,ENGLAND ,East Midlands,Lincolnshire,55127,23139,2667,410,15603,5555,1358,514,4257,1624
E23000022,ENGLAND ,East Midlands,Northamptonshire,59774,24086,3005,784,17864,5126,2810,928,3735,1436
E23000019,ENGLAND ,East Midlands,Nottinghamshire,97491,32890,3872,1108,33865,10176,3783,1603,7408,2786
E23000015,ENGLAND ,West Midlands,Staffordshire,86929,36983,3780,776,24534,7795,2157,1106,8016,1782
E23000017,ENGLAND ,West Midlands,Warwickshire,40212,14825,1787,416,13821,3224,1109,610,3325,1095
E23000016,ENGLAND ,West Midlands,West Mercia,82184,32888,3616,582,25537,7575,2239,1076,6786,1885
E23000014,ENGLAND ,West Midlands,West Midlands,321005,127056,11261,7929,108063,26236,7477,6294,20764,5925
E23000026,ENGLAND ,East,Bedfordshire,51762,18726,1995,595,18289,4332,1630,556,4505,1134
E23000023,ENGLAND ,East,Cambridgeshire,68544,24876,2665,639,23349,6625,1876,901,5699,1914
E23000028,ENGLAND ,East,Essex,149862,58976,5578,1419,48142,13160,5524,1725,12063,3275
E23000027,ENGLAND ,East,Hertfordshire,77608,28026,2725,1125,30106,6862,2066,653,4441,1604
E23000024,ENGLAND ,East,Norfolk,59236,25070,3154,356,14599,6509,1968,858,4893,1829
E23000025,ENGLAND ,East,Suffolk,45571,18929,2549,202,11953,4962,1355,608,3821,1192
E23000034,ENGLAND ,London,City of London,7834,1363,187,168,4225,412,564,80,664,171
E23000001,ENGLAND ,London,Metropolitan Police ,944530,242674,25022,35375,472795,58318,36113,5167,58677,10389
E23000030,ENGLAND ,South East,Hampshire,158210,64385,6980,1143,45648,13461,6063,2232,15515,2783
E23000032,ENGLAND ,South East,Kent,163168,69119,6364,1080,46514,18173,5364,1743,9342,5469
E23000031,ENGLAND ,South East,Surrey,74395,27802,2785,522,23279,6820,2462,702,8142,1881
E23000033,ENGLAND ,South East,Sussex,135164,48537,5789,1318,43692,13207,4204,2588,12602,3227
E23000029,ENGLAND ,South East,Thames Valley,173523,63192,6479,1659,61254,14649,6255,1567,15063,3405
E23000036,ENGLAND ,South West,Avon and Somerset,163882,65907,7233,2461,49907,13414,2613,1131,18389,2827
E23000035,ENGLAND ,South West,Devon and Cornwall,118665,52112,6215,644,28375,13720,4494,1669,8337,3099
E23000039,ENGLAND ,South West,Dorset,51354,19905,2213,361,17512,5276,1223,460,3786,618
E23000037,ENGLAND ,South West,Gloucestershire,48456,20264,2034,390,14022,3941,1036,425,4865,1479
E23000038,ENGLAND ,South West,Wiltshire,39715,16220,1999,221,11145,4330,1054,374,3491,881
W15000004,WALES,WALES,Dyfed-Powys,36752,17544,1550,100,6947,3900,1609,369,3872,861
W15000002,WALES,WALES,Gwent,58154,23647,1823,328,14385,7051,1587,423,7264,1646
W15000001,WALES,WALES,North Wales,53871,25586,2366,161,12019,5991,1343,453,4601,1351
W15000003,WALES,WALES,South Wales,112554,42691,4143,503,34500,10171,2744,934,14439,2429